Subj,Trial,Game,Stim11,Stim12,Stim13,Stim21,Stim22,Stim23,Stim31,Stim32,Stim33,Choice,Chosen1,Chosen2,Chosen3,Unchosen1,Unchosen2,Unchosen3,Unchosen4,Unchosen5,Unchosen6,Outcome,Dim,Feat,CenterDim,CenterFeat,Correct,LearnedFeat,RT,WithinGameTrial,PoL,Adult,Age,Block,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,TotalLookingTime,FeatureEntropy,Animals,Landscapes,Objects,DimensionEntropy
23,1,1,1,6,8,2,5,7,3,4,9,2.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,1,2,0.0,0.0,1.0,False,1.127,1,18.0,False,15.12,1,0.1599999999999999,0.177142857142857,0.0,0.0,0.1457142857142857,0.0,0.4885714285714287,0.0199999999999999,0.0,0.0085714285714285,1.3999999999999997,0.5955979144936998,0.3371428571428571,0.1457142857142857,0.5085714285714287,0.902128838290864
23,2,1,2,5,7,1,4,8,3,6,9,1.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,1,2,0.0,0.0,1.0,False,1.0858,2,18.0,False,15.12,1,0.0,0.2060085836909871,0.0,0.1974248927038626,0.2746781115879828,0.0,0.296137339055794,0.0,0.0,0.0257510729613732,0.932,0.6194484801987655,0.2060085836909871,0.4721030042918455,0.296137339055794,0.946812448819212
23,3,1,3,4,7,2,5,9,1,6,8,1.0,3.0,4.0,7.0,1.0,2.0,5.0,6.0,8.0,9.0,0.0,1,2,0.0,0.0,0.0,False,1.2442,3,18.0,False,15.12,1,0.0,0.136111111111111,0.1083333333333333,0.1361111111111111,0.0083333333333333,0.0,0.4777777777777778,0.0,0.1166666666666666,0.0166666666666666,1.4399999999999995,0.6495018611874903,0.2444444444444444,0.1444444444444445,0.5944444444444444,0.8492826469027095
23,4,1,1,4,7,2,5,8,3,6,9,2.0,2.0,5.0,8.0,1.0,3.0,4.0,6.0,7.0,9.0,0.0,1,2,0.0,0.0,1.0,False,0.47509,4,18.0,False,15.12,1,0.0,0.5760000000000001,0.0,0.0,0.0,0.0,0.0,0.416,0.0,0.008,0.5,0.3106692702064692,0.5760000000000001,0.0,0.416,0.6213385404129383
23,5,1,1,6,8,2,4,7,3,5,9,2.0,2.0,4.0,7.0,1.0,3.0,5.0,6.0,8.0,9.0,1.0,1,2,0.0,0.0,1.0,False,0.8809,5,18.0,False,15.12,1,0.0,0.4197530864197532,0.0,0.2592592592592593,0.0,0.0,0.3045267489711934,0.0,0.0,0.0164609053497941,0.972,0.4899112665093003,0.4197530864197532,0.2592592592592593,0.3045267489711934,0.9798225330186006
23,6,1,3,6,8,1,5,7,2,4,9,3.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,1.0,1,2,0.0,0.0,1.0,False,1.2634,6,18.0,False,15.12,1,0.0,0.1620879120879121,0.0,0.0,0.0,0.0,0.5054945054945055,0.0,0.3296703296703296,0.0027472527472527,1.456,0.4576764805871534,0.1620879120879121,0.0,0.8351648351648351,0.405395853884142
23,7,1,1,5,8,3,6,7,2,4,9,3.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,0.0,1,2,0.0,0.0,1.0,False,0.52625,7,18.0,False,15.12,1,0.0,0.6767676767676768,0.0,0.0,0.0,0.303030303030303,0.0202020202020202,0.0,0.0,0.0,0.792,0.3207914909026209,0.6767676767676768,0.303030303030303,0.0202020202020202,0.6415829818052419
23,8,1,1,4,8,2,5,7,3,6,9,2.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,0.0,1,2,0.0,0.0,1.0,False,0.42968,8,18.0,False,15.12,1,0.0,0.0,0.0,0.0,0.4380165289256199,0.0,0.4628099173553718,0.0,0.0,0.0991735537190083,0.4839999999999999,0.3268435987811185,0.0,0.4380165289256199,0.4628099173553718,0.6536871975622371
23,9,1,1,5,7,2,4,9,3,6,8,3.0,3.0,6.0,8.0,1.0,2.0,4.0,5.0,7.0,9.0,0.0,1,2,0.0,0.0,0.0,False,0.92338,9,18.0,False,15.12,1,0.0,0.0,0.1517241379310344,0.0,0.0,0.3758620689655171,0.0,0.2689655172413793,0.0,0.2034482758620689,1.16,0.4583493016502395,0.1517241379310344,0.3758620689655171,0.2689655172413793,0.9166986033004793
23,10,1,2,6,7,1,5,8,3,4,9,2.0,1.0,5.0,8.0,2.0,3.0,4.0,6.0,7.0,9.0,0.0,1,2,0.0,0.0,0.0,False,0.55373,10,18.0,False,15.12,1,0.6703910614525139,0.0,0.0,0.0,0.0,0.0,0.0055865921787709,0.106145251396648,0.0,0.217877094972067,0.716,0.2435542432394862,0.6703910614525139,0.0,0.1117318435754189,0.4669189488726277
